id,name,product_type,product_label,brand,owner,address,analysis_lat,analysis_lng,display_lat,display_lng,location_accuracy,location_area,is_active,published
,UMKM Demo Minahasa 10,A0009,Ikan & Olahan Laut,Abon Cakalang Demo Minahasa 10,Pemilik Demo 030,"Alamat Dummy No. 10, Kecamatan Tondano Timur, Kabupaten Minahasa, Sulawesi Utara",1.3075,124.913,1.3075,124.913,perkiraan_kecamatan,"Kecamatan Tondano Timur, Kabupaten Minahasa",true,true
,UMKM Demo Minahasa 11,A0012,Kacang & Olahannya,Kacang Garing Demo Minahasa 11,Pemilik Demo 031,"Alamat Dummy No. 11, Kecamatan Kawangkoan, Kabupaten Minahasa, Sulawesi Utara",1.3117,124.913,1.3117,124.913,perkiraan_kecamatan,"Kecamatan Kawangkoan, Kabupaten Minahasa",true,true
,UMKM Demo Minahasa 12,B0001,Obat Tradisional / Jamu,Jamu Sehat Demo Minahasa 12,Pemilik Demo 032,"Alamat Dummy No. 12, Kecamatan Remboken, Kabupaten Minahasa, Sulawesi Utara",1.3159,124.913,1.3159,124.913,perkiraan_kecamatan,"Kecamatan Remboken, Kabupaten Minahasa",true,true
,UMKM Demo Minahasa 13,A0003,Susu & Olahannya,Susu Segar Demo Minahasa 13,Pemilik Demo 033,"Alamat Dummy No. 13, Kecamatan Tondano Barat, Kabupaten Minahasa, Sulawesi Utara",1.2949,124.9184,1.2949,124.9184,perkiraan_kecamatan,"Kecamatan Tondano Barat, Kabupaten Minahasa",true,true
,UMKM Demo Minahasa 14,A0006,Tepung & Olahannya,Tepung Lokal Demo Minahasa 14,Pemilik Demo 034,"Alamat Dummy No. 14, Kecamatan Tondano Timur, Kabupaten Minahasa, Sulawesi Utara",1.2991,124.9184,1.2991,124.9184,perkiraan_kecamatan,"Kecamatan Tondano Timur, Kabupaten Minahasa",true,true
,UMKM Demo Minahasa 15,A0010,Telur & Olahannya,Telur Gurih Demo Minahasa 15,Pemilik Demo 035,"Alamat Dummy No. 15, Kecamatan Kawangkoan, Kabupaten Minahasa, Sulawesi Utara",1.3033,124.9184,1.3033,124.9184,perkiraan_kecamatan,"Kecamatan Kawangkoan, Kabupaten Minahasa",true,true
,UMKM Demo Minahasa 16,A0014,Makanan Ringan,Camilan Nyiur Demo Minahasa 16,Pemilik Demo 036,"Alamat Dummy No. 16, Kecamatan Remboken, Kabupaten Minahasa, Sulawesi Utara",1.3075,124.9184,1.3075,124.9184,perkiraan_kecamatan,"Kecamatan Remboken, Kabupaten Minahasa",true,true
,UMKM Demo Minahasa 17,A0001,Daging & Olahannya,Daging Asap Demo Minahasa 17,Pemilik Demo 037,"Alamat Dummy No. 17, Kecamatan Tondano Barat, Kabupaten Minahasa, Sulawesi Utara",1.3117,124.9184,1.3117,124.9184,perkiraan_kecamatan,"Kecamatan Tondano Barat, Kabupaten Minahasa",true,true
,UMKM Demo Minahasa 18,A0004,Makanan Olahan,Dapur Rasa Demo Minahasa 18,Pemilik Demo 038,"Alamat Dummy No. 18, Kecamatan Tondano Timur, Kabupaten Minahasa, Sulawesi Utara",1.3159,124.9184,1.3159,124.9184,perkiraan_kecamatan,"Kecamatan Tondano Timur, Kabupaten Minahasa",true,true
,UMKM Demo Minahasa 19,A0007,"Roti, Kue & Biskuit",Kue Pesisir Demo Minahasa 19,Pemilik Demo 039,"Alamat Dummy No. 19, Kecamatan Kawangkoan, Kabupaten Minahasa, Sulawesi Utara",,,,,belum_terverifikasi,"Kecamatan Kawangkoan, Kabupaten Minahasa",true,true
,UMKM Demo Minahasa 20,A0011,Bumbu & Rempah,Bumbu Dapur Demo Minahasa 20,Pemilik Demo 040,"Alamat Dummy No. 20, Kecamatan Remboken, Kabupaten Minahasa, Sulawesi Utara",,,,,belum_terverifikasi,"Kecamatan Remboken, Kabupaten Minahasa",true,true
,UMKM Demo Kotamobagu 01,B0001,Obat Tradisional / Jamu,Jamu Sehat Demo Kotamobagu 01,Pemilik Demo 041,"Alamat Dummy No. 01, Kecamatan Kotamobagu Barat, Kota Kotamobagu, Sulawesi Utara",0.7225,124.3066,0.7225,124.3066,perkiraan_kecamatan,"Kecamatan Kotamobagu Barat, Kota Kotamobagu",true,true
,UMKM Demo Kotamobagu 02,A0003,Susu & Olahannya,Susu Segar Demo Kotamobagu 02,Pemilik Demo 042,"Alamat Dummy No. 02, Kecamatan Kotamobagu Timur, Kota Kotamobagu, Sulawesi Utara",0.7267,124.3066,0.7267,124.3066,perkiraan_kecamatan,"Kecamatan Kotamobagu Timur, Kota Kotamobagu",true,true
,UMKM Demo Kotamobagu 03,A0006,Tepung & Olahannya,Tepung Lokal Demo Kotamobagu 03,Pemilik Demo 043,"Alamat Dummy No. 03, Kecamatan Kotamobagu Utara, Kota Kotamobagu, Sulawesi Utara",0.7309,124.3066,0.7309,124.3066,perkiraan_kecamatan,"Kecamatan Kotamobagu Utara, Kota Kotamobagu",true,true
,UMKM Demo Kotamobagu 04,A0010,Telur & Olahannya,Telur Gurih Demo Kotamobagu 04,Pemilik Demo 044,"Alamat Dummy No. 04, Kecamatan Kotamobagu Selatan, Kota Kotamobagu, Sulawesi Utara",0.7351,124.3066,0.7351,124.3066,perkiraan_kecamatan,"Kecamatan Kotamobagu Selatan, Kota Kotamobagu",true,true
,UMKM Demo Kotamobagu 05,A0014,Makanan Ringan,Camilan Nyiur Demo Kotamobagu 05,Pemilik Demo 045,"Alamat Dummy No. 05, Kecamatan Kotamobagu Barat, Kota Kotamobagu, Sulawesi Utara",0.7393,124.3066,0.7393,124.3066,perkiraan_kecamatan,"Kecamatan Kotamobagu Barat, Kota Kotamobagu",true,true
,UMKM Demo Kotamobagu 06,A0001,Daging & Olahannya,Daging Asap Demo Kotamobagu 06,Pemilik Demo 046,"Alamat Dummy No. 06, Kecamatan Kotamobagu Timur, Kota Kotamobagu, Sulawesi Utara",0.7435,124.3066,0.7435,124.3066,perkiraan_kecamatan,"Kecamatan Kotamobagu Timur, Kota Kotamobagu",true,true
,UMKM Demo Kotamobagu 07,A0004,Makanan Olahan,Dapur Rasa Demo Kotamobagu 07,Pemilik Demo 047,"Alamat Dummy No. 07, Kecamatan Kotamobagu Utara, Kota Kotamobagu, Sulawesi Utara",0.7225,124.312,0.7225,124.312,perkiraan_kecamatan,"Kecamatan Kotamobagu Utara, Kota Kotamobagu",true,true
,UMKM Demo Kotamobagu 08,A0007,"Roti, Kue & Biskuit",Kue Pesisir Demo Kotamobagu 08,Pemilik Demo 048,"Alamat Dummy No. 08, Kecamatan Kotamobagu Selatan, Kota Kotamobagu, Sulawesi Utara",0.7267,124.312,0.7267,124.312,perkiraan_kecamatan,"Kecamatan Kotamobagu Selatan, Kota Kotamobagu",true,true
,UMKM Demo Kotamobagu 09,A0011,Bumbu & Rempah,Bumbu Dapur Demo Kotamobagu 09,Pemilik Demo 049,"Alamat Dummy No. 09, Kecamatan Kotamobagu Barat, Kota Kotamobagu, Sulawesi Utara",0.7309,124.312,0.7309,124.312,perkiraan_kecamatan,"Kecamatan Kotamobagu Barat, Kota Kotamobagu",true,true
,UMKM Demo Kotamobagu 10,A0016,Jasa Boga / Katering,Katering Mapalus Demo Kotamobagu 10,Pemilik Demo 050,"Alamat Dummy No. 10, Kecamatan Kotamobagu Timur, Kota Kotamobagu, Sulawesi Utara",0.7351,124.312,0.7351,124.312,perkiraan_kecamatan,"Kecamatan Kotamobagu Timur, Kota Kotamobagu",true,true
,UMKM Demo Kotamobagu 11,A0002,Minyak & Lemak,Minyak Kelapa Demo Kotamobagu 11,Pemilik Demo 051,"Alamat Dummy No. 11, Kecamatan Kotamobagu Utara, Kota Kotamobagu, Sulawesi Utara",0.7393,124.312,0.7393,124.312,perkiraan_kecamatan,"Kecamatan Kotamobagu Utara, Kota Kotamobagu",true,true
,UMKM Demo Kotamobagu 12,A0005,Buah & Sayur Olahan,Manisan Buah Demo Kotamobagu 12,Pemilik Demo 052,"Alamat Dummy No. 12, Kecamatan Kotamobagu Selatan, Kota Kotamobagu, Sulawesi Utara",0.7435,124.312,0.7435,124.312,perkiraan_kecamatan,"Kecamatan Kotamobagu Selatan, Kota Kotamobagu",true,true
,UMKM Demo Kotamobagu 13,A0009,Ikan & Olahan Laut,Abon Cakalang Demo Kotamobagu 13,Pemilik Demo 053,"Alamat Dummy No. 13, Kecamatan Kotamobagu Barat, Kota Kotamobagu, Sulawesi Utara",0.7225,124.3174,0.7225,124.3174,perkiraan_kecamatan,"Kecamatan Kotamobagu Barat, Kota Kotamobagu",true,true
,UMKM Demo Kotamobagu 14,A0012,Kacang & Olahannya,Kacang Garing Demo Kotamobagu 14,Pemilik Demo 054,"Alamat Dummy No. 14, Kecamatan Kotamobagu Timur, Kota Kotamobagu, Sulawesi Utara",0.7267,124.3174,0.7267,124.3174,perkiraan_kecamatan,"Kecamatan Kotamobagu Timur, Kota Kotamobagu",true,true
,UMKM Demo Kotamobagu 15,B0001,Obat Tradisional / Jamu,Jamu Sehat Demo Kotamobagu 15,Pemilik Demo 055,"Alamat Dummy No. 15, Kecamatan Kotamobagu Utara, Kota Kotamobagu, Sulawesi Utara",0.7309,124.3174,0.7309,124.3174,perkiraan_kecamatan,"Kecamatan Kotamobagu Utara, Kota Kotamobagu",true,true
,UMKM Demo Kotamobagu 16,A0003,Susu & Olahannya,Susu Segar Demo Kotamobagu 16,Pemilik Demo 056,"Alamat Dummy No. 16, Kecamatan Kotamobagu Selatan, Kota Kotamobagu, Sulawesi Utara",0.7351,124.3174,0.7351,124.3174,perkiraan_kecamatan,"Kecamatan Kotamobagu Selatan, Kota Kotamobagu",true,true
,UMKM Demo Kotamobagu 17,A0006,Tepung & Olahannya,Tepung Lokal Demo Kotamobagu 17,Pemilik Demo 057,"Alamat Dummy No. 17, Kecamatan Kotamobagu Barat, Kota Kotamobagu, Sulawesi Utara",0.7393,124.3174,0.7393,124.3174,perkiraan_kecamatan,"Kecamatan Kotamobagu Barat, Kota Kotamobagu",true,true
,UMKM Demo Kotamobagu 18,A0010,Telur & Olahannya,Telur Gurih Demo Kotamobagu 18,Pemilik Demo 058,"Alamat Dummy No. 18, Kecamatan Kotamobagu Timur, Kota Kotamobagu, Sulawesi Utara",0.7435,124.3174,0.7435,124.3174,perkiraan_kecamatan,"Kecamatan Kotamobagu Timur, Kota Kotamobagu",true,true
,UMKM Demo Kotamobagu 19,A0014,Makanan Ringan,Camilan Nyiur Demo Kotamobagu 19,Pemilik Demo 059,"Alamat Dummy No. 19, Kecamatan Kotamobagu Utara, Kota Kotamobagu, Sulawesi Utara",,,,,belum_terverifikasi,"Kecamatan Kotamobagu Utara, Kota Kotamobagu",true,true
,UMKM Demo Kotamobagu 20,A0001,Daging & Olahannya,Daging Asap Demo Kotamobagu 20,Pemilik Demo 060,"Alamat Dummy No. 20, Kecamatan Kotamobagu Selatan, Kota Kotamobagu, Sulawesi Utara",,,,,belum_terverifikasi,"Kecamatan Kotamobagu Selatan, Kota Kotamobagu",true,true
